"","NODCCODE","Commonname",">30","25-26","26-27","27-28","28-29","29-30","Troph","Polar","Boreal","Temperate","Subtropical"
"88","8787040105","Roughback Batfish",NA,NA,NA,NA,NA,2,NA,0,-1,-2,-2
"89","8787040106","Spotted Batfish",1,NA,58,4,10,4027,NA,0,-1,-1,-1
"90","8787040109","Longnose Batfish",NA,NA,NA,NA,NA,4,NA,0,-1,-2,-1
"91","8787040113","Polka-dot Batfish",35,1,741.5,250.5,19.5,7595.5,NA,0,-1,-1,-2
"92","8791031002","Spotted Hake",3,NA,NA,NA,NA,105.5,3.76666666666667,0,-1,-4,-2
"93","8791031007","Southern Hake",16.5,NA,232.5,231,6,1853.16666666667,NA,0,-1,-1,-2
"94","8792010401","Bearded Brotula",NA,NA,NA,NA,NA,1,NA,0,-1,-1,-3
"95","8792010603","Bank Cusk-eel",81,NA,NA,4,3,48,NA,0,-1,-1,-2
"96","8792010605","Crested Cusk-eel",NA,NA,NA,NA,NA,2,NA,0,-1,-1,-2
"97","8792010703","Sleeper Cusk-eel",NA,NA,9,NA,NA,NA,NA,0,-1,-1,-2
"98","8792012301","Gold Brotula",NA,NA,NA,NA,NA,7.5,NA,0,-1,-1,-2
"99","8792012401","Key Brotula",NA,14,NA,NA,NA,NA,NA,0,-1,-1,-2
"100","8803010201","Ballyhoo",11,NA,39,26.5,4,29,2.24,0,-1,-2,-3
"101","8803010202","Balao",NA,NA,NA,1,NA,NA,3.85,0,-1,-2,-3
"102","8803010301","Halfbeak",NA,NA,25,21,2,5,2,0,-2,-5,-4
"103","8803010399","False Silver Halfbeak",30,3,542,1080.5,40,1868,NA,0,-1,-3,-1
"104","8803010401","Hardhead Halfbeak",NA,234.666666666667,NA,NA,NA,NA,NA,0,-2,-3,-4
"105","8803020201","Atlantic Needlefish",173,NA,1634,2115.5,95,3994.75,3,0,-1,-4,-3
"106","8803020203","Timucu",NA,37.5,504.5,393,187,437,4.355,0,-1,-2,-3
"107","8803020302","Houndfish",43,17,129,105.5,4,114.5,4.445,0,-2,-4,-13
"108","8804040201","Marsh Killifish",3,NA,294,533,NA,46.5,NA,0,-2,-3,-3
"109","8804040205","Striped Killifish",NA,NA,NA,10,NA,NA,NA,0,-1,-3,-2
"110","8804040207","Gulf Killifish",31.6666666666667,NA,4178.33333333333,8524.66666666667,690.5,3770.33333333333,3.27,0,-1,-1,-2
"111","8804040208","Golden Topminnow",NA,NA,4,5,NA,25,NA,0,-1,-2,-2
"112","8804040213","Longnose Killifish",61,NA,4895.83333333333,16446.1,200.083333333333,10237.8,3.19,0,-1,-1,-2
"113","8804040223","Seminole Killifish",NA,NA,1809,1500.5,19,724.833333333333,NA,0,-1,-1,-1
"114","8804040301","Rainwater Killifish",2009.16666666667,13179.8333333333,200772.166666667,130256.5,16707,25030,NA,0,-2,-3,-3
"115","8804040302","Bluefin Killifish",NA,NA,90,39,12,107.5,NA,0,-1,-1,-1
