"","NODCCODE","Commonname",">30","26-27","27-28","28-29","29-30","Family","Class","NODCCODE.1","Troph","Polar","Boreal","Temperate","Subtropical"
"172","8835280901","Florida Pompano",3746,8,327,197,NA,"Carangidae","Actinopterygii","8835280901",3.5,0,-1,-2,-2
"173","8835280902","Permit",1832,21,2408,1162,NA,"Carangidae","Actinopterygii","8835280902",3.884,0,-1,-2,-2
"174","8835280903","Palometa",1,6,NA,NA,NA,"Carangidae","Actinopterygii","8835280903",4.345,0,-1,-3,-2
"175","8835290101","Dolphin",NA,NA,4,NA,NA,"Coryphaenidae","Actinopterygii","8835290101",4.4625,0,-2,-12,-16
"176","8835360101","Cubera Snapper",NA,2,9,1,NA,"Lutjanidae","Actinopterygii","8835360101",4.36,0,-1,-1,-2
"177","8835360102","Gray Snapper",968,288,7310,962,32,"Lutjanidae","Actinopterygii","8835360102",4.02125,0,-1,-2,-2
"178","8835360103","Mutton Snapper",17,183,2570,12,NA,"Lutjanidae","Actinopterygii","8835360103",3.932,0,-1,-2,-2
"179","8835360104","Schoolmaster",NA,10,19,NA,NA,"Lutjanidae","Actinopterygii","8835360104",3.80909090909091,0,-1,-2,-2
"180","8835360107","Red Snapper",2,NA,NA,NA,NA,"Lutjanidae","Actinopterygii","8835360107",NA,0,-1,-2,-2
"181","8835360109","Dog Snapper",NA,2,53,NA,NA,"Lutjanidae","Actinopterygii","8835360109",4.25166666666667,0,-1,-2,-3
"182","8835360112","Lane Snapper",299,348,1862,10,NA,"Lutjanidae","Actinopterygii","8835360112",3.81571428571429,0,-1,-1,-2
"183","8835360401","Yellowtail Snapper",NA,11,80,NA,NA,"Lutjanidae","Actinopterygii","8835360401",3.8725,0,-1,-2,-2
"184","8835380101","Tripletail",54,6,48,7,NA,"Lobotidae","Actinopterygii","8835380101",4.04,0,-2,-7,-12
"185","8835390101","Spotfin Mojarra",NA,241,427,34,NA,"Gerreidae","Actinopterygii","8835390101",3.24,0,-3,-6,-5
"186","8835390102","Silver Jenny",3669,6443,56221,9470,84,"Gerreidae","Actinopterygii","8835390102",2.90166666666667,0,-2,-5,-4
"187","8835390105","Flagfin Mojarra",NA,18,306,3,NA,"Gerreidae","Actinopterygii","8835390105",NA,0,-1,-1,-3
"188","8835390109","Slender Mojarra",NA,738,1796,65,NA,"Gerreidae","Actinopterygii","8835390109",NA,0,-1,-1,-2
"189","8835390111","Tidewater Mojarra",16574,3220,64569,44490,1027,"Gerreidae","Actinopterygii","8835390111",NA,0,-1,-1,-1
"190","8835390202","Rhombic Mojarra",NA,33,26,2,NA,"Gerreidae","Actinopterygii","8835390202",2.884,0,-1,-1,-1
"191","8835390203","Striped Mojarra",NA,1470,18347,2006,NA,"Gerreidae","Actinopterygii","8835390203",2.425,0,-1,-1,-1
"192","8835390204","Irish Pompano",4220,5681,210005,69753,43,"Gerreidae","Actinopterygii","8835390204",2.44,0,-1,-1,-2
"193","8835390301","Yellowfin Mojarra",NA,1174,2826,108,NA,"Gerreidae","Actinopterygii","8835390301",3.60333333333333,0,-1,-1,-2
"194","8835400101","Tomtate",NA,24,148,NA,NA,"Haemulidae","Actinopterygii","8835400101",3.55333333333333,0,-1,-2,-2
"195","8835400102","White Grunt",NA,448,444,1,NA,"Haemulidae","Actinopterygii","8835400102",3.6275,0,-1,-1,-2
"196","8835400108","French Grunt",NA,5,9,NA,NA,"Haemulidae","Actinopterygii","8835400108",3.46,0,-1,-1,-2
"197","8835400113","Bluestriped Grunt",NA,206,169,2,NA,"Haemulidae","Actinopterygii","8835400113",3.48,0,-1,-1,-2
"198","8835400117","Sailors Choice",NA,59,1228,42,NA,"Haemulidae","Actinopterygii","8835400117",3.44666666666667,0,-1,-1,-2
"199","8835400201","Pigfish",4513,156,44206,9280,19,"Haemulidae","Actinopterygii","8835400201",3.1,0,-1,-2,-2
"200","8835400304","Black Margate",NA,NA,4,NA,NA,"Haemulidae","Actinopterygii","8835400304",3.575,0,-1,-1,-2
"201","8835400306","Porkfish",NA,NA,32,1,NA,"Haemulidae","Actinopterygii","8835400306",3.635,0,-1,-1,-2
"202","8835400502","Burro Grunt",NA,1,7,NA,NA,"Haemulidae","Actinopterygii","8835400502",NA,0,-1,-1,-2
"203","8835430101","Scup",1,NA,NA,NA,NA,"Sparidae","Actinopterygii","8835430101",3.886,0,-1,-4,-2
"204","8835430102","Longspine Porgy",2,NA,NA,NA,NA,"Sparidae","Actinopterygii","8835430102",3.55285714285714,0,-1,-1,-2
"205","8835430201","Pinfish",46148,5431,343800,280334,1202,"Sparidae","Actinopterygii","8835430201",2.9284,0,-1,-2,-2
"206","8835430301","Sheepshead",2508,650,28045,16461,19,"Sparidae","Actinopterygii","8835430301",NA,0,-1,-3,-1
