"","NODCCODE","Commonname","183m seine","21.3m seine","273m nylon trammel net","366m monofilament trammel net","547m nylon trammel net","6.1m otter trawl","61m seine","9.1m seine","Hook and line","No Set","Offshore Purse Seine","Scientificname","Genus","Subfamily","Family","Order","Class"
"54","6179170301",NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","6182010101","Spiny Lobster",12,2,NA,NA,NA,5,NA,NA,NA,NA,NA,"Panulirus argus",NA,NA,NA,NA,NA
"56","6186020201","Calico Box Crab",NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,"Hepatus epheliticus",NA,NA,NA,NA,NA
"57","6189010000","Swimming Crabs",NA,3,NA,NA,NA,2,NA,NA,NA,NA,NA,"Portunidae spp.",NA,NA,NA,NA,NA
"58","6189010101","Speckled Swimming Crab",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arenaeus cribrarius",NA,NA,NA,NA,NA
"59","6189010300",NA,2,16,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","6189010301","Blue Crab",20595,31556,NA,552,20,53954,746,139,4,33,NA,"Callinectes sapidus",NA,NA,NA,NA,NA
"61","6189010302","Lesser Blue Crab",26,164,NA,NA,NA,2981,NA,NA,NA,NA,NA,"Callinectes similis",NA,NA,NA,NA,NA
"62","6189010304","Shelligs",262,158,NA,NA,NA,1167,NA,NA,NA,1,NA,"Callinectes ornatus",NA,NA,NA,NA,NA
"63","6189010310","Masked Swimming Crab",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"Callinectes larvatus",NA,NA,NA,NA,NA
"64","6189010600","Portunus Crabs",400,756,NA,NA,NA,67157,NA,NA,NA,NA,NA,"Portunus spp.",NA,NA,NA,NA,NA
"65","6189010601","Iridescent Swimming Crab",3,54,NA,NA,NA,467,NA,NA,NA,NA,NA,"Portunus gibbesii",NA,NA,NA,NA,NA
"66","6189010604","Blotched Swimming Crab",NA,9,NA,NA,NA,39,NA,NA,NA,NA,NA,"Portunus spinimanus",NA,NA,NA,NA,NA
"67","6189021300","Stone Crab",132,527,NA,1,1,19093,NA,1,1,NA,NA,"Menippe spp.",NA,NA,NA,NA,NA
"68","6189021301","Florida Stone Crab",5,1,NA,NA,NA,234,NA,NA,NA,NA,NA,"Menippe mercenaria",NA,NA,NA,NA,NA
"69","6191010101","Rough Mantis Shrimp",NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,"Squilla empusa",NA,NA,NA,NA,NA
"70","8500010100","Lancelet",NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,"Amphioxus spp.",NA,NA,NA,NA,NA
"71","8707100101","Nurse Shark",19,NA,NA,3,NA,15,NA,NA,NA,NA,NA,"Ginglymostoma cirratum","Ginglymostoma",NA,"Ginglymostomatidae","Orectolobiformes","Elasmobranchii"
"72","8708020301","Atlantic Sharpnose Shark",96,5,NA,NA,NA,15,NA,NA,NA,NA,NA,"Rhizoprionodon terraenovae","Rhizoprionodon",NA,"Carcharhinidae","Carcharhiniformes","Elasmobranchii"
"73","8708020500",NA,2,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","8708020502","Bull Shark",39,1,NA,15,1,NA,NA,NA,NA,NA,NA,"Carcharhinus leucas","Carcharhinus",NA,"Carcharhinidae","Carcharhiniformes","Elasmobranchii"
"75","8708020504","Blacknose Shark",3,NA,NA,1,NA,NA,NA,NA,NA,NA,4,"Carcharhinus acronotus","Carcharhinus",NA,"Carcharhinidae","Carcharhiniformes","Elasmobranchii"
"76","8708020507","Blacktip Shark",66,3,NA,7,3,4,NA,NA,3,NA,2,"Carcharhinus limbatus","Carcharhinus",NA,"Carcharhinidae","Carcharhiniformes","Elasmobranchii"
